Name,lon,lat
Chico - East Avenue,-121.84161999999999,39.761538
SAN ANDREAS - GOLD STRIKE ROAD,-120.68156699999999,38.201852
Colusa-Sunrise Blvd,-122.017728,39.202935
Concord,-122.026154,37.936013
Bethel Island,-121.64191799999999,38.006311
San Pablo - Rumrill,-122.35681100000001,37.9604
LOCATED APPROX 2 TO 3 BLOCKS SOUTH OF THE LAKE'S SHORELINE.,-119.97060900000001,38.944979
Fresno-Drummond,-119.74196599999999,36.705506
Fresno-Drummond,-119.74196599999999,36.705506
Fresno - Garland,-119.774174,36.785322
Fresno - Garland,-119.774174,36.785322
Clovis,-119.71735600000001,36.819111
"720 N COLUSA STREET, WILLOWS",-122.191903,39.533761
,-123.675233,41.047117
EUREKA-JACOBS,-124.1775,40.776944
CALEXICO HIGH SCHOOL  ARB (#1300698),-115.484144,32.676186
BRAWLEY-MAIN STREET #2,-115.53917,32.97833
BRAWLEY-MAIN STREET #2,-115.53917,32.97833
EL CENTRO-9TH STREET,-115.56306000000001,32.79222
Westmorland,-115.62361000000001,33.0325
Niland-English Road,-115.54528,33.213611
Niland-English Road,-115.54528,33.213611
White Mountain Research Station - Owens Valley Lab,-118.33078300000001,37.360684
Lone Pine PM,-118.057809,36.609003
OLANCHA,-117.993002,36.267536
DIRTY SOCKS,-117.95512,36.326172
SHELL CUT,-117.897609,36.366319
Bill Stanley,-118.01068000000001,36.361932
Lizard Tail,-117.941827,36.54314
North Beach,-117.9911,36.54287
Mill,-117.85188799999999,36.458104
Coso Junction,-117.943927,36.049402
Keeler,-117.871036,36.487823
Keeler,-117.871036,36.487823
Keeler,-117.871036,36.487823
Lone Pine Paiute-Shoshone Reservation,-118.049167,36.595556
BISHOP TRIBE EMO,-118.41653899999999,37.362194
,-118.22575,36.835002
Bakersfield-Golden/M St,-119.015009,35.385574
Mojave,-118.14729399999999,35.050551
Bakersfield-California Avenue,-119.04120900000001,35.356092
Bakersfield-California Avenue,-119.04120900000001,35.356092
Ridgecrest-California Av.,-117.67296,35.62109
"3147 Highway 178, Canebrake",-118.13931200000002,35.727779999999996
"3311 MANOR ST., OILDALE",-119.01676499999999,35.438869
Corcoran,-119.56695400000001,36.10218
SANTA ROSA RANCHIERIA,-119.76621200000001,36.233274
Hanford,-119.64457,36.314399
Hanford,-119.64457,36.314399
Azusa,-117.92391,34.1365
Glendora,-117.85036000000001,34.14435
Los Angeles (Main St.),-118.22688000000001,34.066590000000005
,-118.17533,33.792359999999995
LAX Hastings,-118.43043,33.9508
Santa Clarita,-118.5284,34.38344
Antelope Valley Air Monitoring Station,-118.131456,34.671394
Antelope Valley Air Monitoring Station,-118.131456,34.671394
Picayune Tribal Office,-119.69906499999999,37.2136
,-120.034203,36.953256
San Rafael,-122.520004,37.97231
"VISITOR CTR-YOSEMITE VILLAGE,YOSEMITE NP",-119.60375400000001,37.745759
Fort Bragg-300 Dana Street,-123.78766,39.43734
2334 'M' ST.,-120.480993,37.308537
Mammoth Lakes,-118.96651999999999,37.64571
Mammoth Lakes,-118.96651999999999,37.64571
Lee Vining,-119.12026599999999,37.959672
Mono Lake North Shore,-118.94773799999999,38.069711
King City 2,-121.12637099999999,36.209286
Napa - Jefferson St.,-122.29618899999998,38.310942
Napa - Jefferson St.,-122.29618899999998,38.310942
Anaheim,-117.93845,33.83062
Anaheim,-117.93845,33.83062
