	id	lon	lat	label
0	100.0	-121.889191	37.361971	San Jose
1	129.0	-122.50795	37.758239	San Francisco - Outer Sunset
2	185.0	-118.268681	34.073635	Echo Park P1
3	186.0	-118.268681	34.073635	Echo Park P2
4	187.0	-115.938793	33.540036	North shore 70 P1
5	188.0	-115.938793	33.540036	North shore 70 P2
6	193.0	-116.207652	33.700258	Coachella city P1
7	194.0	-116.207652	33.700258	Coachella City P2
8	195.0	-124.128893	41.059725	Trinidad 
9	196.0	-124.128893	41.059725	Trinidad  B
10	199.0	-116.076002	33.572943	Mecca 5th and C P1 B
11	200.0	-116.076002	33.572943	Mecca 5th and C P1
12	203.0	-120.67506	35.615743	Paso Robles, CA P2
13	204.0	-120.67506	35.615743	Paso Robles, CA P1
14	205.0	-117.146628	34.059641	Redlands_1 P1
15	206.0	-117.146628	34.059641	Redlands_1 P2
16	209.0	-117.034367	34.062265	Yucaipa_3 P1
17	210.0	-117.034367	34.062265	Yucaipa_3 P2
18	211.0	-117.144925	34.047246	Redlands_9 P1
19	212.0	-117.144925	34.047246	Redlands_9 P2
20	213.0	-117.095381	34.021978	Yucaipa_1 P1
21	214.0	-117.095381	34.021978	Yucaipa_1 P2
22	215.0	-117.266987	34.063472	LomaLinda_1 P1
23	216.0	-117.266987	34.063472	LomaLinda_1 P2
24	219.0	-117.063003	34.019903	Yucaipa_7 P1
25	220.0	-117.063003	34.019903	Yucaipa_7 P2
26	221.0	-117.415335	33.999516	Riverside_1 P1
27	222.0	-117.415335	33.999516	Riverside_1 P1 B
28	223.0	-117.188945	34.030939	Redlands_6 P1
29	224.0	-117.188945	34.030939	Redlands_6 P2
30	225.0	-117.040512	34.006184	Yucaipa_6 P1
31	226.0	-117.040512	34.006184	Yucaipa_6 P1 B
32	227.0	-117.099526	34.068967	Mentone_2 P1
33	228.0	-117.099526	34.068967	Mentone_2 P2
34	229.0	-117.182137	34.023388	Redlands_8 P1
35	230.0	-117.182137	34.023388	Redlands_8 P2
36	232.0	-117.415811	33.999494	RivBlank_01
37	233.0	-117.415811	33.999494	RivBlank_01 B
38	234.0	-117.046089	34.028348	Yucaipa_4 P1
39	235.0	-117.046089	34.028348	Yucaipa_4 P2
40	236.0	-117.191	34.034336	Redlands_10 P1
41	237.0	-117.191	34.034336	Redlands_10 P2
42	238.0	-117.158449	34.074435	Redlands_4 P1
43	239.0	-117.158449	34.074435	Redlands_4 P2
44	240.0	-117.157	34.02975	Redlands_11 P1
45	241.0	-117.157	34.02975	Redlands_11 P2
46	242.0	-117.016377	34.04243	Yucaipa_5 P1
47	243.0	-117.016377	34.04243	Yucaipa_5 P2
48	244.0	-117.186711	34.033946	Redlands_7 P1
49	245.0	-117.186711	34.033946	Redlands_7 P2
50	246.0	-117.158554	34.067174	Redlands_5 P1
51	247.0	-117.158554	34.067174	Redlands_5 P2
52	250.0	-117.124758	34.019221	Redlands_2 P1
53	251.0	-117.124758	34.019221	Redlands_2 P2
